Date,BTC.Open,BTC.High,BTC.Low,BTC.Close,LTC.Open,LTC.High,LTC.Low,LTC.Close,XRP.Open,XRP.High,XRP.Low,XRP.Close,ETH.Open,ETH.High,ETH.Low,ETH.Close,Date,Close*
3/22/17 0:00,1115.04,1115.17,990.7,1037.44,3.99,4.01,3.89,3.94,0.006908,0.00746,0.006882,0.007301,43.12,43.52,39.69,42.34,5/12/17 0:00,"2,390.90"
3/23/17 0:00,1037.44,1053.24,1016.83,1029.95,3.93,4,3.92,3.98,0.007284,0.010582,0.007258,0.010582,42.57,44.75,41.3,43.68,5/15/17 0:00,"2,402.32"
3/24/17 0:00,1029.95,1032.34,925.78,935.95,3.97,4.13,3.94,4.08,0.010528,0.010825,0.009135,0.010518,43.64,54.14,43.21,53.11,5/16/17 0:00,"2,400.67"
3/25/17 0:00,935.95,972.27,891.51,964.69,4.07,4.12,3.97,4.07,0.010502,0.010711,0.00904,0.009116,53.58,53.58,48.31,51.25,5/17/17 0:00,"2,357.03"
3/26/17 0:00,964.69,998.56,946.52,965.23,4.07,4.1,4.03,4.06,0.009159,0.00984,0.009079,0.009545,50.77,51.8,49.28,50.52,5/18/17 0:00,"2,365.72"
3/27/17 0:00,965.23,1042.9,958.77,1040.49,4.07,4.14,4.04,4.08,0.009482,0.010053,0.009155,0.009597,51.31,52.46,48.93,49.67,5/19/17 0:00,"2,381.73"
3/28/17 0:00,1040.49,1064.52,1017.17,1044.25,4.07,4.18,4.06,4.16,0.009568,0.009644,0.00928,0.009514,49.71,50.96,49.15,50.77,5/22/17 0:00,"2,394.02"
3/29/17 0:00,1044.25,1056.9,1010.05,1040.39,4.14,4.2,4.09,4.19,0.009526,0.010101,0.00952,0.010101,50.57,53.87,50.55,53.13,5/23/17 0:00,"2,398.42"
3/30/17 0:00,1040.39,1051.85,1023.19,1037.53,4.18,7.04,4.15,6.98,0.010125,0.014126,0.010125,0.013276,53.12,53.31,51.87,52.21,5/24/17 0:00,"2,404.39"
3/31/17 0:00,1037.53,1087.73,1037.52,1079.75,7.02,7.07,5.85,6.67,0.013049,0.021776,0.013049,0.020889,51.75,51.77,47.38,50.04,5/25/17 0:00,"2,415.07"
4/1/17 0:00,1079.75,1103.53,1069.78,1089.51,6.65,6.98,6.31,6.88,0.021743,0.022798,0.019664,0.021892,50.03,51.93,48.88,50.7,5/26/17 0:00,"2,415.82"
4/2/17 0:00,1089.51,1111.24,1077.59,1098.78,6.86,7.94,6.65,7.74,0.021938,0.071441,0.021696,0.061159,50.74,51.27,45.43,48.75,5/30/17 0:00,"2,412.91"
4/3/17 0:00,1098.78,1155.71,1098.77,1147.63,7.74,8.64,7.24,8.07,0.060291,0.061594,0.027447,0.033023,48.82,48.82,43.41,44.36,5/31/17 0:00,"2,411.80"
4/4/17 0:00,1147.63,1161.36,1125.83,1143.75,8.12,8.96,7.53,8.29,0.033032,0.040702,0.028324,0.037455,43.92,45.74,41.72,44.64,6/1/17 0:00,"2,430.06"
4/5/17 0:00,1143.75,1145.82,1113.08,1135,8.25,11.42,7.96,11.09,0.037386,0.040178,0.035214,0.035544,44.66,47.84,44.54,45.3,6/2/17 0:00,"2,439.07"
4/6/17 0:00,1135,1202.82,1135,1190.6,11.12,11.45,9.66,10.25,0.035672,0.036843,0.029463,0.032665,45.22,45.64,40.9,43.24,6/5/17 0:00,"2,436.10"
4/7/17 0:00,1190.6,1202.04,1176.37,1193.02,10.22,10.56,9.19,9.37,0.03274,0.036935,0.030789,0.036319,42.87,44.04,41.65,42.16,6/6/17 0:00,"2,429.33"
4/8/17 0:00,1193.02,1196.94,1170.58,1184.82,9.34,10.35,9.33,9.92,0.036355,0.036894,0.034932,0.035849,41.8,45.21,41.73,44.31,6/7/17 0:00,"2,433.14"
4/9/17 0:00,1184.82,1218.24,1178.4,1210.05,9.89,10.01,8.43,8.71,0.035799,0.035799,0.032327,0.03402,44.28,44.49,42.89,43.27,6/8/17 0:00,"2,433.79"
4/10/17 0:00,1210.05,1219.06,1202.78,1213.34,8.72,9.2,8.19,8.92,0.034123,0.035091,0.032806,0.033598,43.28,44.14,42.42,43.44,6/9/17 0:00,"2,431.77"
4/11/17 0:00,1213.34,1232.15,1204.36,1224.77,8.91,9.28,8.66,8.85,0.033677,0.034576,0.032035,0.032952,43.5,44.25,43.3,43.41,6/12/17 0:00,"2,429.39"
